fold,model_0_dev_acc,model_0_train_acc,model_1_dev_acc,model_1_train_acc,model_2_dev_acc,model_2_train_acc,model_3_dev_acc,model_3_train_acc,model_4_dev_acc,model_4_train_acc,model_5_dev_acc,model_5_train_acc,model_6_dev_acc,model_6_train_acc,model_7_dev_acc,model_7_train_acc,model_8_dev_acc,model_8_train_acc,model_9_dev_acc,model_9_train_acc,model_10_dev_acc,model_10_train_acc,model_11_dev_acc,model_11_train_acc,model_12_dev_acc,model_12_train_acc,model_13_dev_acc,model_13_train_acc,model_14_dev_acc,model_14_train_acc,model_15_dev_acc,model_15_train_acc,model_16_dev_acc,model_16_train_acc,model_17_dev_acc,model_17_train_acc,model_18_dev_acc,model_18_train_acc,model_19_dev_acc,model_19_train_acc
fold_0, 0.652 , 0.612 , 0.798 , 0.809 , 0.876 , 0.873 , 0.652 , 0.612 , 0.843 , 0.763 , 0.652 , 0.612 , 0.337 , 0.418 , 0.652 , 0.612 , 0.820 , 0.847 , 0.865 , 0.875 , 0.854 , 0.820 , 0.787 , 0.776 , 0.652 , 0.612 , 0.854 , 0.855 , 0.865 , 0.859 , 0.820 , 0.830 , 0.652 , 0.612 , 0.865 , 0.781 , 0.865 , 0.875 , 0.820 , 0.818 
fold_1, 0.663 , 0.611 , 0.775 , 0.813 , 0.854 , 0.880 , 0.663 , 0.611 , 0.798 , 0.766 , 0.663 , 0.611 , 0.371 , 0.416 , 0.663 , 0.611 , 0.809 , 0.859 , 0.798 , 0.884 , 0.843 , 0.828 , 0.730 , 0.781 , 0.663 , 0.611 , 0.831 , 0.850 , 0.854 , 0.862 , 0.809 , 0.830 , 0.663 , 0.611 , 0.787 , 0.798 , 0.843 , 0.877 , 0.798 , 0.823 
fold_2, 0.607 , 0.617 , 0.820 , 0.814 , 0.809 , 0.877 , 0.607 , 0.617 , 0.753 , 0.768 , 0.607 , 0.617 , 0.438 , 0.408 , 0.607 , 0.617 , 0.764 , 0.858 , 0.775 , 0.873 , 0.820 , 0.828 , 0.787 , 0.778 , 0.607 , 0.617 , 0.798 , 0.864 , 0.809 , 0.868 , 0.798 , 0.829 , 0.607 , 0.617 , 0.798 , 0.789 , 0.798 , 0.887 , 0.809 , 0.820 
fold_3, 0.573 , 0.621 , 0.775 , 0.819 , 0.764 , 0.885 , 0.573 , 0.621 , 0.652 , 0.778 , 0.573 , 0.621 , 0.461 , 0.409 , 0.573 , 0.621 , 0.809 , 0.852 , 0.787 , 0.885 , 0.787 , 0.829 , 0.730 , 0.787 , 0.573 , 0.621 , 0.798 , 0.855 , 0.775 , 0.874 , 0.787 , 0.837 , 0.573 , 0.621 , 0.719 , 0.793 , 0.764 , 0.884 , 0.775 , 0.832 
fold_4, 0.607 , 0.617 , 0.843 , 0.814 , 0.820 , 0.883 , 0.607 , 0.617 , 0.775 , 0.763 , 0.607 , 0.617 , 0.416 , 0.411 , 0.607 , 0.617 , 0.843 , 0.852 , 0.809 , 0.883 , 0.798 , 0.830 , 0.787 , 0.772 , 0.607 , 0.617 , 0.865 , 0.857 , 0.809 , 0.863 , 0.865 , 0.830 , 0.607 , 0.617 , 0.753 , 0.791 , 0.775 , 0.884 , 0.854 , 0.819 
fold_5, 0.640 , 0.613 , 0.843 , 0.808 , 0.854 , 0.878 , 0.640 , 0.613 , 0.831 , 0.764 , 0.640 , 0.613 , 0.449 , 0.406 , 0.640 , 0.613 , 0.843 , 0.842 , 0.876 , 0.877 , 0.854 , 0.822 , 0.809 , 0.774 , 0.640 , 0.613 , 0.865 , 0.852 , 0.831 , 0.854 , 0.820 , 0.822 , 0.640 , 0.613 , 0.831 , 0.784 , 0.876 , 0.872 , 0.820 , 0.815 
fold_6, 0.584 , 0.620 , 0.787 , 0.818 , 0.809 , 0.885 , 0.584 , 0.620 , 0.742 , 0.768 , 0.584 , 0.620 , 0.449 , 0.406 , 0.584 , 0.620 , 0.831 , 0.862 , 0.831 , 0.892 , 0.775 , 0.829 , 0.764 , 0.784 , 0.584 , 0.620 , 0.820 , 0.852 , 0.809 , 0.862 , 0.809 , 0.829 , 0.584 , 0.620 , 0.742 , 0.788 , 0.809 , 0.883 , 0.798 , 0.822 
fold_7, 0.607 , 0.617 , 0.798 , 0.815 , 0.809 , 0.882 , 0.607 , 0.617 , 0.753 , 0.766 , 0.607 , 0.617 , 0.427 , 0.413 , 0.607 , 0.617 , 0.775 , 0.863 , 0.787 , 0.883 , 0.798 , 0.827 , 0.753 , 0.781 , 0.607 , 0.617 , 0.798 , 0.857 , 0.798 , 0.868 , 0.809 , 0.828 , 0.607 , 0.617 , 0.775 , 0.793 , 0.809 , 0.879 , 0.798 , 0.823 
fold_8, 0.618 , 0.616 , 0.820 , 0.817 , 0.820 , 0.875 , 0.618 , 0.616 , 0.753 , 0.763 , 0.618 , 0.616 , 0.393 , 0.414 , 0.618 , 0.616 , 0.787 , 0.862 , 0.809 , 0.883 , 0.798 , 0.830 , 0.753 , 0.784 , 0.618 , 0.616 , 0.798 , 0.862 , 0.820 , 0.867 , 0.843 , 0.835 , 0.618 , 0.616 , 0.764 , 0.792 , 0.820 , 0.883 , 0.831 , 0.819 
fold_9, 0.611 , 0.617 , 0.789 , 0.819 , 0.811 , 0.883 , 0.611 , 0.617 , 0.767 , 0.767 , 0.611 , 0.617 , 0.400 , 0.413 , 0.611 , 0.617 , 0.833 , 0.855 , 0.800 , 0.885 , 0.789 , 0.830 , 0.789 , 0.779 , 0.611 , 0.617 , 0.811 , 0.855 , 0.822 , 0.868 , 0.800 , 0.834 , 0.611 , 0.617 , 0.778 , 0.788 , 0.822 , 0.885 , 0.800 , 0.821 
